id , TEV NAME , OTHER NAMES , TYPE , RA (J2000) , Dec (J2000) , LII(degrees) , BII(degrees) , ErrRaStat[s] , ErrRaSys[s] , ErrDecStat[arcsec] , ErrDecSys[arcsec] , EXTENDED , SEMIMAJOR[deg] , ERRMAJOR[deg] , SEMIMINOR[deg] , ERRMINOR[deg] , ROTATION ANGLE[deg] , DIFF. FLUX NORMALIZATION[x TeV^-1 cm^-2 s^-1] , DIFF. FLUX NORMALIZATION ERRSTAT[x TeV^-1 cm^-2 s^-1] , DIFF. FLUX NORMALIZATION ERRSYS[x TeV^-1 cm^-2 s^-1] , SPECTRAL SLOPE , ERRSLOPESTAT , ERRSLOPESYS , INTEGRAL FLUX , ErrFluxStat[x 10^-12 cm^-2 s^-1] , ErrFluxSys[x 10^-12 cm^-2 s^-1] , OTHER SPECTRAL COMPONENTS , Flux in CU[%] , THR ENERGY [GeV] , MIN ZENITH[deg] , MAX ZENITH[deg] , MEAN ZENITH[deg] , DISTANCE[kPc] , Distance , Discoverer , Observatory , START TIME[MJD] , END OBSERVATION[MJD] , EXPOSURE TIME[ksec] , POS. ERROR CIRCLE[deg] , Diff. Flux. Norm. Energy[TeV] , REFERENCE , COMMENTS
21 , "TeV J0449-4350" , "PKS 0447-439" , "HBL" , "04 49 28.2" , "-43 50 12" , "248.8" , "-39.91" , "1.4" , "1" , "15" , "18" , "NO" , "-" , "-" , "-" , "-" , "-" , "3.5e-13" , "1.1e-13" , "9e-14" , "3.89" , "0.37" , "0.22" , "3.3" , "0.8" , "-" , "NO" , "3" , "250" , "20" , "26" , "-" , "-" , "-" , "HESS" , "HESS" , "55136" , "55227" , "49" , "0.0072" , "1" , "Abramowski et al. (2013), A&A 552, A118" , "-"
22 , "TeV J0507+6737" , "1ES 0502+675" , "HBL" , "05 07 56.25" , "+67 37 24.4" , "143.79" , "15.89" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "3.9" , "0.4" , "-" , "-" , "-" , "-" , "-" , "6" , "300" , "-" , "-" , "-" , "-" , "0.341" , "VERITAS" , "VERITAS" , "55075" , "55227" , "108" , "-" , "-" , "Benbow (2011), 32nd ICRC" , "Data from Benbow (2011), 32nd ICRC."
23 , "TeV J0521+2112" , "RGB J0521.8+211/ VER J0521+211" , "IBL" , "05 21 45" , "+21 12 51.4" , "183.6" , "-8.72" , "1" , "1.7" , "14" , "25" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.99e-11" , "1.8e-12" , "8e-12" , "3.44" , "0.20" , "0.30" , "19.3" , "0.13" , "0.78" , "NO" , "9.2" , "200" , "-" , "-" , "16" , "-" , "-" , "VERITAS" , "VERITAS" , "55126" , "55212" , "52.2" , "0.0080" , "0.4" , "Archambault et al. (2013), ApJ 776, 69" , "Data from Archambault et al. (2013), ApJ 776, 69."
24 , "TeV J0525-6938" , "LMC N132D/ SNR J052501-693842" , "SNR/MC" , "05 25 02.20" , "-69 38 39.0" , "280.3" , "-32.79" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.3e-13" , "5e-14" , "4e-14" , "2.4" , "0.3" , "0.3" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "-" , "-" , "533" , "-" , "1" , "Acero et al. (2015), Science 347, 406" , "Data from Acero et al. (2015), Science 347, 406."
25 , "TeV J0534+2200" , "Crab/ G 184.6-5.8/ 3C 144/ SN 1054" , "PWN" , "05 34 31.1" , "+22 00 52" , "184.55" , "-5.79" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "YES" , "-" , "25" , "-" , "-" , "-" , "2" , "-" , "WHIPPLE" , "MAGIC" , "54374" , "54497" , "80.28" , "-" , "-" , "Aliu et al. (2008), Science 322, 1222" , "Pulsar emission. Spectrum with exp. cutoff: A*E^(-alpha)*exp[-(E/Ec)^beta]."
26 , "TeV J0535-6911" , "30 Dor C" , "Superbubble" , "05 35 55" , "-69 11 10" , "279.59" , "-31.91" , "5" , "1.3" , "20" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.6e-13" , "4e-14" , "5e-14" , "2.6" , "0.2" , "0.3" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "-" , "-" , "659" , "0.022" , "1" , "Acero et al. (2015), Science 347, 406" , "Data from Acero et al. (2015), Science 347, 406."
27 , "TeV J0537-6909" , "N 157B/ PSR J0537-6910" , "PWN" , "05 37 44" , "-69 09 57" , "279.55" , "-31.76" , "2" , "1.3" , "11" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.3e-12" , "1e-13" , "4e-13" , "2.8" , "0.1" , "0.3" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "-" , "-" , "HESS" , "HESS" , "-" , "-" , "652" , "0.010" , "1" , "Acero et al. (2015), Science 347, 406" , "Data from Acero et al. (2015), Science 347, 406."
28 , "TeV J0550-3216" , "PKS 0548-322/ H 0548-322/ 1ES 0548-322" , "HBL" , "05 50 38.4" , "-32 16 12.9" , "237.56" , "-26.16" , "3.2" , "1.3" , "40.2" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "3.8e-13" , "-" , "-" , "2.86" , "0.34" , "0.1" , "2.7" , "0.6" , "0.5" , "NO" , "1.3" , "250" , "-" , "-" , "-" , "287400" , "0.069" , "HESS" , "HESS" , "53279" , "54495" , "125.64" , "0.014" , "1" , "Aharonian et al. (2010), A&A 521, A69" , "Data from Aharonian et al. (2010), A&A 521, A69."
29 , "TeV J0616+2230" , "IC 443/ SNR 189.1+03.0/ MAGIC 0616+223" , "SNR" , "06 16 51" , "+22 30 11" , "189.07" , "2.91" , "7" , "19" , "108" , "288" , "YES" , "0.16" , "0.04" , "0.16" , "0.04" , "-" , "8.38e-13" , "2.1e-13" , "2.5e-13" , "2.99" , "0.38" , "0.3" , "4.63" , "0.9" , "0.93" , "NO" , "3.2" , "300" , "-" , "-" , "17" , "1.5" , "-" , "MAGIC" , "VERITAS" , "54132" , "54434" , "135.72" , "0.085" , "1" , "Acciari et al. (2009), ApJL 698, L133" , "Spectral properties valid from 0.317 to 2.0 TeV."
30 , "TeV J0632+0548" , "HESS J0632+057" , "XRB" , "06 32 58.3" , "+05 48 20" , "205.66" , "-1.45" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.2e-12" , "3e-13" , "2e-13" , "2.6" , "0.3" , "0.2" , "8.8" , "1.7" , "2.1" , "NO" , "4" , "200" , "22" , "50" , "-" , "1.6" , "-" , "HESS" , "MAGIC" , "55470" , "55651" , "38.16" , "-" , "1" , "Aleksic et al. (2012), ApJ 754, L10" , "Source detected during the Feb. 2011 outburst."
